绿城上海御园,南,浦东,中,4,稀罕南北通，出行方便，光线充足，品味装修,1460,万,2,182.9,7,金桥,None,
保屯路50弄,南,黄浦,高,2,稀罕南北通，厨卫全明，交通方便，采光好,395,万,1,47.97,6,蓬莱公园,1978,
古北国际花园,南,长宁,中,3,稀罕南北通，卧室带阳台，地铁沿线，好楼层,1750,万,2,163.85,30,古北,2006,
龙柏二村,南,闵行,高,3,稀缺南北通，厨卫全明，出行方便，采光好,420,万,1,82.33,6,龙柏,1994,
和新小区,南,闸北,中,1,厨卫全明，卧室带阳台，地铁房，黄金楼层,215,万,1,40.58,6,彭浦,1999,
长江公寓,南,黄浦,中,1,地铁直达，楼层好，品质装修，房本满五年,590,万,1,51.0,14,人民广场,1939,
瑞嘉苑,南,虹口,低,3,南北户型，卧室带卫，出行方便，上下楼方便,1200,万,2,143.74,29,临平路,2004,
宝林一村,南,宝山,中,2,南北通透，出行方便，楼层好，中等装修,267,万,1,53.97,6,淞宝,1992,
静安新城（四区）,南,闵行,低,2,房型正气，厨卫全明，交通方便，上下楼方便,375,万,1,64.32,6,静安新城,1998,
名嘉新苑,南,浦东,中,3,稀罕南北通，交通便利，光线充足，精装修,780,万,2,125.57,18,三林,2007,
泰宸苑,南,普陀,中,3,房型正气，带落地窗，地铁房，好楼层,675,万,2,108.96,7,长征,2000,
兆丰帝景苑,南,徐汇,中,3,南北直通，卧室带阳台，交通便利，光线充足,2650,万,2,264.27,26,徐家汇,2004,
四和花园,南,静安,高,2,卧室带阳台，地铁沿线，采光好，省装修费,600,万,0,49.92,25,曹家渡,1994,
工农四村五街坊,南,杨浦,中,2,南北通，卧室带阳台，地铁沿线，好楼层,365,万,1,64.23,6,中原,1997,
广中扩大小区,南,虹口,低,2,南北户型，卧室带阳台，地铁沿线，低楼层,265,万,0,39.61,6,凉城,1989,
田林十四村,南,徐汇,高,1,厨卫全明，卧室带阳台，交通便利，视野开阔,310,万,1,34.01,6,田林,1987,
浦江名邸,南,虹口,高,3,南北直通，卧室带卫，地铁房，高区景观好,1568,万,2,180.98,27,临平路,2004,
新泾五村,南,长宁,低,2,南北直通，厨卫全明，地铁房，上下楼方便,379,万,1,56.0,6,北新泾,1994,
复兴苑,南,黄浦,低,2,厨卫全明，卧室带阳台，地铁直达，低楼层,930,万,2,110.0,32,新天地,1998,
上南花苑（三期）,南,浦东,低,3,卧室带阳台，出行方便，上下楼方便，拎包入住,910,万,2,134.85,6,世博,2000,
久千公寓,南,宝山,低,2,南北户型，卧室带阳台，地铁房，上下楼方便,320,万,1,57.66,6,高境,1995,
愉景华庭,南,普陀,低,2,稀罕南北通，客厅朝南，交通方便，低楼层,688,万,2,108.75,18,万里,2006,
汇龙新城,南,黄浦,低,3,南北直通，带飘窗，地铁沿线，上下楼方便,1580,万,2,158.3,28,五里桥,2002,
银都新村（8至10区）,南,闵行,高,2,地铁沿线，高区采光好，中等装修，满五减税,312,万,1,70.1,6,颛桥,1995,
文化佳园,南,杨浦,高,3,南北通，厨卫全明，地铁沿线，光线非常好,1100,万,2,131.72,11,黄兴公园,2002,
市光一村,南,杨浦,低,1,厨卫全明，卧室带阳台，出行方便，上下楼方便,250,万,1,41.92,6,中原,1988,
安东小区,南,长宁,高,1,南北通，厨卫全明，交通方便，光线非常好,263,万,1,37.71,6,新华路,1987,
安临小区,南,浦东,高,1,厨卫全明，卧室带阳台，出行方便，采光无遮挡,215,万,0,34.8,6,三林,1994,
新家坡园景苑,西,黄浦,高,2,地铁直达，视野很好，装修精致，满五年,819,万,2,94.9,33,五里桥,1999,
怡心苑,南,浦东,低,2,南北直通，客厅朝南，地铁沿线，低区出入方便,520,万,2,110.94,11,外高桥,2005,
静安风华苑,南,静安,中,3,南北直通，厨卫全明，地铁沿线，楼层好,1240,万,2,130.54,6,曹家渡,2005,
美兰湖岭域,南,宝山,中,3,南北户型，带飘窗，地铁直达，黄金楼层,395,万,2,90.11,7,罗店,2009,
新花苑,南,浦东,中,2,厨卫全明，卧室带阳台，出行方便，光线充足,430,万,1,72.23,6,北蔡,1995,
田林一村,南,徐汇,中,2,交通方便，上下楼方便，简单装修，满五年,323,万,1,45.93,5,田林,1983,
文化名园,南,杨浦,高,3,南北户型，厨卫全明，出行方便，采光好,615,万,2,106.02,6,五角场,2003,
汇元坊,南,杨浦,低,2,南北通透，卧室带卫，地铁沿线，上下楼方便,750,万,2,101.45,7,黄兴公园,2002,
意凯家苑,南,浦东,中,2,稀罕南北通，厨卫全明，出行方便，光线充足,360,万,1,67.65,6,三林,1994,
西南小区,南,虹口,高,1,厨卫全明，地铁直达，高区景观好，中等装修,210,万,0,28.37,6,曲阳,1980,
蒙自新村,东,黄浦,中,1,厨卫全明，卧室带阳台，出行方便，楼层好,285,万,0,36.73,7,五里桥,1989,
虹田苑,南,闵行,中,3,南北户型，带飘窗，交通便利，黄金楼层,810,万,2,112.97,11,金虹桥,2005,
重庆北路211号,东,黄浦,中,2,卧室带阳台，交通方便，黄金楼层，简单装修,460,万,0,56.11,6,人民广场,1991,
沁春园三村,None,闵行,低,2,出行方便，低楼层，简单装修，满五减税,545,万,2,104.82,14,莘庄,2005,
一品漫城（一期）（公寓）,南,闵行,中,3,交通方便，楼层好，装修精美，满五年,900,万,2,132.98,13,浦江,2008,
光明城市,南,普陀,中,4,南北通透，地铁直达，黄金楼层，豪华装修,1700,万,2,183.68,29,长寿路,2003,
龙柏公寓,南,闵行,高,2,稀缺南北通，厨卫全明，交通方便，高区采光好,490,万,2,99.35,6,龙柏,1995,
金都花好悦园,南,闵行,高,1,厨卫全明，地铁沿线，高区景观房，中等装修,310,万,1,57.05,6,颛桥,2000,
中远两湾城,南,普陀,中,3,卧室带卫，卧室带阳台，地铁沿线，光线充足,940,万,2,122.25,34,中远两湾城,2005,
化工小区（长宁）,南,长宁,低,1,厨卫全明，卧室带阳台，地铁直达，低区出入方便,280,万,0,34.87,6,新华路,1985,
春申丽园,南,闵行,低,2,厨卫全明，客厅朝南，交通方便，上下楼方便,640,万,2,113.87,17,莘庄,2009,
云海苑,东,静安,低,4,卧室带卫，卧室带阳台，地铁直达，低楼层,2300,万,2,196.2,28,南京西路,2003,
联洋年华,南,浦东,中,1,交通便利，好楼层，装修精美，满五年,745,万,2,76.04,21,联洋,2004,
上缝小区,南,徐汇,高,1,厨卫全明，卧室带阳台，交通方便，高区景观房,260,万,0,34.64,6,龙华,1989,
共富二村,南,宝山,中,3,稀罕南北通，带飘窗，交通方便，楼层好,465,万,2,109.85,6,共富,2006,
强生花苑,南,徐汇,中,2,卧室带卫，卧室带阳台，地铁房，光线充足,915,万,2,113.04,24,龙华,2001,
高荣小区,南,静安,低,3,南北通透，卧室带阳台，出行方便，低区出入方便,630,万,1,89.04,24,曹家渡,1990,
奔腾新干线,南,闸北,中,2,带飘窗，地铁直达，好楼层，装修精致,415,万,1,49.34,32,西藏北路,None,
益晖新苑,南,杨浦,中,3,稀罕南北通，厨卫全明，交通方便，黄金楼层,739,万,2,108.3,17,控江路,2010,
信利苑,南,闵行,高,2,房型正气，带落地窗，地铁沿线，视野开阔,475,万,2,90.58,6,航华,2002,
